gap_id,prev_time,next_time,delta_hours,csv_gap_confirmed,interior_h1_bars,screenshot_file,screenshot_present,screenshot_png_signature_valid,screenshot_sha256,layer_a_status,layer_b_status,acceptance_state
gap_11,2024-01-15 21:00:00,2024-01-16 01:00:00,4,true,0,gap_11_20240115_2100_20240116_0100_GOLD_HASH_H1.png,true,true,6E0C3443094A7694765A97603FF40556D86DD0E756188745E3F7EC23E35617FD,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_12,2024-02-19 21:00:00,2024-02-20 01:00:00,4,true,0,gap_12_20240219_2100_20240220_0100_GOLD_HASH_H1.png,true,true,0B51A27A2AAC288AAF204257F6DA07657475E5132EEAF40E34E141137D63F031,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_13,2024-03-28 22:00:00,2024-04-01 01:00:00,75,true,0,gap_13_20240328_2200_20240401_0100_GOLD_HASH_H1.png,true,true,E77FA3F67E210DED282A3A134CD2B1DD525F8E0C5CFC2D4FEB288914612785E3,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_14,2024-05-27 21:00:00,2024-05-28 01:00:00,4,true,0,gap_14_20240527_2100_20240528_0100_GOLD_HASH_H1.png,true,true,0F4508A53DBD24F1D72B241C5F937DA7D08E795C430C69F522EE1AA2BB05EB66,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_15,2024-06-19 21:00:00,2024-06-20 01:00:00,4,true,0,gap_15_20240619_2100_20240620_0100_GOLD_HASH_H1.png,true,true,E70E80717AAC3EC37E37377D0EA97E442363CC9172A7407889AF44D203FA3036,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_16,2024-07-04 21:00:00,2024-07-05 01:00:00,4,true,0,gap_16_20240704_2100_20240705_0100_GOLD_HASH_H1.png,true,true,3C63E7A0322F2CA3CBD19536A55272F9BD07E79690A6F58809D99B82362170A0,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_17,2024-09-02 21:00:00,2024-09-03 01:00:00,4,true,0,gap_17_20240902_2100_20240903_0100_GOLD_HASH_H1.png,true,true,7CFC0FB3F6D8EEA8B1C55C20A7FD19FD632942775D5EC92FCD2E86ED30D738FB,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_18,2024-11-28 21:00:00,2024-11-29 01:00:00,4,true,0,gap_18_20241128_2100_20241129_0100_GOLD_HASH_H1.png,true,true,AB433C6A6FEE38A8B6C5ACB5892356965DE71D510492B1FD98404F4D180C65DB,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_19,2024-12-24 20:00:00,2024-12-26 08:00:00,36,true,0,gap_19_20241224_2000_20241226_0800_GOLD_HASH_H1.png,true,true,D50AFA2406F3803B3C0514532E2E60B1F787E72312684EC9B9F41513C75B8D72,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_20,2024-12-31 20:00:00,2025-01-02 08:00:00,36,true,0,gap_20_20241231_2000_20250102_0800_GOLD_HASH_H1.png,true,true,9A14BF1888D54A118A8EA942C466F745E2E2051FC39096D44B5E0088DE5774CE,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_21,2025-01-20 21:00:00,2025-01-21 01:00:00,4,true,0,gap_21_20250120_2100_20250121_0100_GOLD_HASH_H1.png,true,true,394E281F6ED476D0172BE36A1D74B5A789717BC6C87497EB9ACEA2AA28D67CA6,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_22,2025-02-17 21:00:00,2025-02-18 01:00:00,4,true,0,gap_22_20250217_2100_20250218_0100_GOLD_HASH_H1.png,true,true,F85F8C4B0213689D2448F283FBA14DBAA225067DB5FF56309305B1517142927E,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_23,2025-04-17 23:00:00,2025-04-21 01:00:00,74,true,0,gap_23_20250417_2300_20250421_0100_GOLD_HASH_H1.png,true,true,B33373D5888543AA814D5893E4B3A222ADE9D7E491E2A05665AAB4F319B86D88,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_24,2025-05-26 21:00:00,2025-05-27 01:00:00,4,true,0,gap_24_20250526_2100_20250527_0100_GOLD_HASH_H1.png,true,true,1D4D6EF27A60ED7C0F5552D8615CEA9D9DC5B695DC8C5C58FB0525317E00CA7E,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_25,2025-06-19 21:00:00,2025-06-20 01:00:00,4,true,0,gap_25_20250619_2100_20250620_0100_GOLD_HASH_H1.png,true,true,93532162D7535B2580F75CF491E41FD4FD3E16FCB47684EB0B437E5F029F08EA,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_26,2025-09-01 21:00:00,2025-09-02 01:00:00,4,true,0,gap_26_20250901_2100_20250902_0100_GOLD_HASH_H1.png,true,true,D607684D98D9C15815D38F8CB6CCA13154493EF8E98D0CEACFE98F42C17EE294,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_27,2025-11-27 21:00:00,2025-11-28 01:00:00,4,true,0,gap_27_20251127_2100_20251128_0100_GOLD_HASH_H1.png,true,true,08EBB9D51064C4C92818101EDAE6E02CC717414447EED5675BCF76775EBE446E,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_28,2025-12-24 19:00:00,2025-12-26 08:00:00,37,true,0,gap_28_20251224_1900_20251226_0800_GOLD_HASH_H1.png,true,true,262C9444926D71C063012175AA791F8643545ECD22E1B4DB5FFC955A187A509B,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
